#,SCG Bibtex,Type,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelveth Author,Year,Venue
110,Byel08a,Poster,Texture-based visualization of metrics on software architectures,"Byelas, H.","Telea, A.",,,,,,,,,,,2008,SOFTVIS
111,Fris08a,Poster,Towards seamless semantic zooming techniques for UML diagrams,"Frisch, M.","Dachselt, R.","Bruckmann, T.",,,,,,,,,,2008,SOFTVIS
112,Alme08a,Poster,VAST: visualization of abstract syntax trees within language processors courses,"Almeida-Martinez, F.J.","Urquiza-Fuentes, J.","Velazquez-Iturbide, J.-A",,,,,,,,,,2008,SOFTVIS
113,Thom08a,Poster,Visualizing the computation tree of the Tutte Polynomial,"Thompson, B.","Pearce, P.J.","Anslow, C.","Haggard, G.",,,,,,,,,2008,SOFTVIS
114,Ansl08a,Poster,Web software visualization using extensible 3D (X3D) graphics,"Anslow, C.","Noble, J.","Marshall, S.","Biddle, R.",,,,,,,,,2008,SOFTVIS
115,Deur10a,Keynote,A pragmatic perspective on software visualization,"van Deursen, A.",,,,,,,,,,,,2010,SOFTVIS
116,Booc10a,Capstone,Why don't developers draw diagrams?,"Booch, G.",,,,,,,,,,,,2010,SOFTVIS
117,Murp10a,Paper,An interactive ambient visualization for code smells,"Murphy-Hill, E.","Black, B.P.",,,,,,,,,,,2010,SOFTVIS
118,Parn10a,Paper,CodePad: interactive spaces for maintaining concentration in programming environments,"Parnin, C.","Gorg, C.","Rugaber, S.",,,,,,,,,,2010,SOFTVIS
119,Ansl10a,Paper,User evaluation of polymetric views using a large visualization wall,"Anslow, C.","Marshall, S.","Noble, J.","Tempero, E.","Biddle, R.",,,,,,,,2010,SOFTVIS
120,Ogaw10a,Paper,Software evolution storylines,"Ogawa, M.","Ma, K.",,,,,,,,,,,2010,SOFTVIS
121,Robe10a,Paper,AllocRay: memory allocation visualization for unmanaged languages,"Robertson, G.G.","Chilimbi, T.","Lee, B.",,,,,,,,,,2010,SOFTVIS
122,Afta10a,Paper,Heapviz: interactive heap visualization for program understanding and debugging,"Aftandilian, E.E.","Kelley, S.","Gramazio, C.","Ricci, N.","Su, S.L.","Guyer, S.Z.",,,,,,,2010,SOFTVIS
123,Myer10a,Paper,A map of the heap: revealing design abstractions in runtime structures,"Myers, C.","Duke, D.",,,,,,,,,,,2010,SOFTVIS
124,Adam10a,Paper,Trevis: a context tree visualization & analysis framework and its use for classifying performance failure reports,"Adamoli, A.","Hauswirth, M.",,,,,,,,,,,2010,SOFTVIS
125,Ruan10a,Paper,Exploring the inventor's paradox: applying jigsaw to software visualization,"Ruan, H.","Anslow, C.","Marshall, S.","Noble, J.",,,,,,,,,2010,SOFTVIS
126,Isla10a,Paper,Dependence cluster visualization,"Islam, S.S.","Krinke, J.","Binkley, D.",,,,,,,,,,2010,SOFTVIS
127,Lin10a,Paper,Towards anomaly comprehension: using structural compression to navigate profiling call-trees,"Lin, S.","Taiani, F.","Ormerod, T.C.","Ball, L.J.",,,,,,,,,2010,SOFTVIS
128,Kuhn10a,Paper,Embedding spatial software visualization in the IDE: an exploratory study,"Kuhn, A.","Erni, D.","Nierstrasz, O.",,,,,,,,,,2010,SOFTVIS
129,Wu10a,Paper,Visualizing windows system traces,"Wu, Y.","Yap, Y.H.","Halim, F.",,,,,,,,,,2010,SOFTVIS
130,Trum10a,Paper,Understanding complex multithreaded software systems by using trace visualization,"Trumper, J.","Bohnet, J.","Dollner, J.",,,,,,,,,,2010,SOFTVIS
131,Pauw10a,Paper,Zinsight: a visual and analytic environment for exploring large event traces,"De Pauw, W.","Heisig, S.",,,,,,,,,,,2010,SOFTVIS
132,Helm10a,Paper,Jype - a program visualization and programming exercise tool for Python,"Helminen, J.","Malmi, L.",,,,,,,,,,,2010,SOFTVIS
133,Fris10a,Paper,Off-screen visualization techniques for class diagrams,"Frisch, M.","Dachselt, R.",,,,,,,,,,,2010,SOFTVIS
